id,title,timestamp,reference,topics,oeil_subjects,eurovoc_concepts,result,topics_filled,topics_effective
183108,"Addressing impunity through EU sanctions, including the EU Global Human Rights sanctions regime (so-called “EU Magnitsky Act”)",2026-01-21T13:48:38,A10-0266/2025,,"Common foreign and security policy (CFSP), Human rights situation in the world",,ADOPTED,"Foreign affairs, Human rights","Foreign affairs, Human rights"
183225,Implementation of the common security and defence policy – annual report 2025,2026-01-21T13:30:24,A10-0265/2025,,"Common security and defence policy (CSDP); WEU, NATO",,ADOPTED,"Defense, Foreign affairs","Defense, Foreign affairs"
183397,Implementation of the common foreign and security policy – annual report 2025,2026-01-21T13:17:11,A10-0253/2025,,Common foreign and security policy (CFSP),,ADOPTED,Foreign affairs,Foreign affairs
183884,Request for opinion from the Court of Justice on the compatibility with the Treaties of the proposed EU-Mercosur Partnership Agreement (EMPA) and Interim Trade Agreement (ITA),2026-01-21T12:48:35,B10-0060/2026,"International trade, Foreign affairs","Bilateral economic and trade agreements and relations, Relations with Latin America, Central America, Caribbean islands",,ADOPTED,"International trade, Foreign affairs","International trade, Foreign affairs"
183885,Request for opinion from the Court of Justice on the compatibility with the Treaties of the proposed EU-Mercosur Partnership Agreement (EMPA) and Interim Trade Agreement (ITA),2026-01-21T12:49:21,B10-0061/2026,"International trade, Foreign affairs","Bilateral economic and trade agreements and relations, Relations with Latin America, Central America, Caribbean islands",,REJECTED,"International trade, Foreign affairs","International trade, Foreign affairs"
183022,Safeguarding and promoting financial stability amid economic uncertainties,2026-01-20T13:10:28,A10-0232/2025,,"Structural funds, investment funds in general, programmes",,ADOPTED,Economy and budget,Economy and budget
183050,"Framework for strengthening the availability and security of supply of critical medicinal products as well as the availability of, and accessibility of, medicinal products of common interest",2026-01-20T12:51:16,A10-0272/2025,Health,"Public health, Medicine, diseases, Pharmaceutical products and industry, Health legislation and policy","investment, shortage, EU production, medicinal product, public health, security of supply, public procurement, supply chain",ADOPTED,Health,Health
183122,Just transition directive in the world of work: ensuring the creation of jobs and revitalising local economies,2026-01-20T13:09:57,A10-0261/2025,,,,ADOPTED,,
183124,Humanitarian aid in a time of polycrisis – reaffirming our principles for a more effective and ambitious response to humanitarian crises,2026-01-20T13:11:20,A10-0257/2025,Foreign affairs,"Emergency, food, humanitarian aid, aid to refugees, Emergency Aid Reserve",,ADOPTED,Foreign affairs,Foreign affairs
183160,The 28th Regime: a new legal framework for innovative companies,2026-01-20T12:57:48,A10-0269/2025,,,,ADOPTED,,
183166,Reform of the European Electoral Act – hurdles to ratification and implementation in the Member States,2026-01-20T13:16:41,A10-0252/2025,,"Citizen's rights, Elections, direct universal suffrage",,ADOPTED,Democracy,Democracy
183244,"Framework for strengthening the availability and security of supply of critical medicinal products as well as the availability of, and accessibility of, medicinal products of common interest",2026-01-20T12:43:04,A10-0272/2025,Health,"Public health, Medicine, diseases, Pharmaceutical products and industry, Health legislation and policy","investment, shortage, EU production, medicinal product, public health, security of supply, public procurement, supply chain",REJECTED,Health,Health
182388,"Decarbonisation and modernisation of EU fisheries, and the development and deployment of fishing gear",2025-12-18T12:20:25,A10-0236/2025,"Climate and environment, Food and agriculture","Fisheries policy, Sustainable development",,ADOPTED,"Climate and environment, Food and agriculture","Climate and environment, Food and agriculture"
182506,Implementation of the rule of law conditionality regime,2025-12-18T12:16:09,A10-0240/2025,,"Principles common to the Member States, EU values",,ADOPTED,Democracy,Democracy
182922,Continuous Belarusian hybrid attacks against Lithuania,2025-12-18T12:24:07,RC-B10-0571/2025,,"Cybersecurity, cyberspace policy, Ethical information policy, Fundamental freedoms, human rights, democracy in general",,ADOPTED,"Democracy, Human rights","Democracy, Human rights"
182962,Arbitrary arrest and sentencing of academics Bahruz Samadov and Igbal Abilov in Azerbaijan,2025-12-18T12:04:13,RC-B10-0567/2025,,Human rights situation in the world,,ADOPTED,Human rights,Human rights
182963,Grave political situation in Guinea-Bissau after the coup of 26 November,2025-12-18T12:07:58,RC-B10-0568/2025,,"Third-country political situation, local and regional conflicts, Fundamental freedoms, human rights, democracy in general",,ADOPTED,"Democracy, Foreign affairs, Human rights","Democracy, Foreign affairs, Human rights"
182968,"Mass kidnapping of children in Nigeria, including from St Mary’s Catholic School in Papiri",2025-12-18T12:07:13,RC-B10-0577/2025,,"Fundamental freedoms, human rights, democracy in general",,ADOPTED,"Democracy, Human rights","Democracy, Human rights"
182462,European High Performance Computing Joint Undertaking (EuroHPC),2025-12-17T12:27:51,A10-0241/2025,,"Information and communication technologies, digital technologies, Cybersecurity, cyberspace policy, Agencies and bodies of the EU","artificial intelligence, European Joint Undertaking, data processing, computer system, European undertaking, high-performance computing",ADOPTED,Digital,Digital
182510,European Defence Readiness 2030: assessment of needs,2025-12-17T12:30:33,A10-0243/2025,Economy and budget,"Defence and arms industry, Common security and defence policy (CSDP); WEU, NATO",,ADOPTED,Economy and budget,Economy and budget
182511,Military Mobility,2025-12-17T12:29:28,A10-0242/2025,,"Common security and defence policy (CSDP); WEU, NATO",,ADOPTED,"Defense, Foreign affairs","Defense, Foreign affairs"
182512,EU/Jordan Agreement for scientific and technological cooperation: terms and conditions for the participation of Jordan in the Partnership for Research and Innovation in the Mediterranean Area (PRIMA),2025-12-17T12:27:28,A10-0228/2025,,Scientific and technological cooperation and agreements,,ADOPTED,Digital,Digital
182704,Objection pursuant to Rule 114(3): Simplification of the content and presentation of information to be disclosed concerning environmentally sustainable activities and simplification of certain technical screening criteria for determining whether economic activities cause no significant harm to environmental objectives,2025-12-17T12:28:58,B10-0566/2025,Climate and environment,"Securities and financial markets, stock exchange, CIUTS, investments, Insurance, pension funds, Financial services, financial reporting and auditing, Sustainable development",,REJECTED,Climate and environment,Climate and environment
182713,"European Citizens’ Initiative ‘My voice, my choice: for safe and accessible abortion’",2025-12-17T12:37:34,B10-0557/2025,Gender equality,"Fundamental rights in the EU, Charter, Citizen's rights, Women condition and rights",,REJECTED,Gender equality,Gender equality
